user_nickname,last_celeb_chat_date,first_celeb_chat_date,celeb_chat_period,celeb_chat_week,celeb_chat_count,avg_celeb_chat,last_week_celeb_chat_count,celeb_chat_length,celeb_chat_avg_len,churn,celeb_joinus_date,celeb_type,last_fan_chat_date,first_fan_chat_date,fan_chat_period,fan_chat_week,fan_chat_count,avg_fan_chat,last_week_fan_chat_count,sticker_count,Total_sticker_sales,avg_sticker_price,churn_proba
(ㅅ´ ˘ `)♡,2022-11-17,2022-11-17,1,1,7,7.0,7,57.0,8.142857142857142,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9816566561168134
BJ민하_+,2022-12-20,2022-12-20,1,1,4,4.0,4,108.0,27.0,1,2022-12-20,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8958103098923392
Chu_a,2023-01-20,2022-11-26,56,8,964,120.5,81,8481.0,8.797717842323651,0,2022-11-26,mid_term,2023-01-20,2022-11-26,56.0,8.0,1861.0,232.62,88.0,0.0,0.0,0.0,0.06269382962862013
Coomo,2022-09-06,2022-09-06,1,1,1,1.0,1,1.0,1.0,1,before 2022-09-04,churn_customer,2022-11-06,2022-09-06,62.0,9.0,9.0,1.0,1.0,1.0,50.0,50.0,0.9443191318313123
Cuha_큐하,2022-09-20,2022-09-20,1,1,2,2.0,2,55.0,27.5,1,before 2022-09-04,churn_customer,2022-09-20,2022-09-20,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.985843963833569
E효,2023-01-19,2022-12-28,23,4,3,0.75,2,44.0,14.666666666666666,0,2022-12-20,new_customer,2023-01-12,2022-12-28,16.0,3.0,10.0,3.33,2.0,0.0,0.0,0.0,0.6192460216895752
GamZae BaW Lee SeonW,2023-01-15,2022-12-06,41,6,42,7.0,7,604.0,14.38095238095238,0,before 2022-09-04,mid_term,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3639315658119821
Kik5o,2022-10-19,2022-10-13,7,1,54,54.0,54,1791.0,33.166666666666664,1,before 2022-09-04,churn_customer,2023-01-04,2022-10-13,84.0,12.0,55.0,4.58,3.0,1.0,33.0,33.0,0.9697843857850382
KoreAlo,2022-11-12,2022-11-12,1,1,9,9.0,9,195.0,21.666666666666668,1,2022-11-12,churn_customer,2022-11-12,2022-11-12,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.9568294695959948
LAO,2022-12-22,2022-12-12,11,2,802,401.0,317,15838.0,19.748129675810475,1,2022-12-12,churn_customer,2023-01-20,2022-12-12,40.0,6.0,2834.0,472.33,139.0,4.0,65.0,16.2,0.9497031956353222
LAO(라오),2023-01-20,2022-12-22,30,5,616,123.2,57,13913.0,22.58603896103896,0,before 2022-09-04,new_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26062681939633087
Martina Rose,2022-11-01,2022-09-17,46,7,420,60.0,3,6019.0,14.33095238095238,1,2022-09-17,churn_customer,2022-12-06,2022-09-17,81.0,12.0,401.0,33.42,1.0,0.0,0.0,0.0,0.9485291221348456
NC수장위대하이,2022-12-14,2022-12-14,1,1,1,1.0,1,8.0,8.0,1,2022-10-29,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9746622709684013
New,2022-12-07,2022-11-30,8,2,233,116.5,232,2131.0,9.145922746781116,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9389118326670245
Npick,2022-09-13,2022-09-13,1,1,1,1.0,1,2.0,2.0,1,before 2022-09-04,churn_customer,2022-10-31,2022-10-31,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9470994355428719
NpickJudy,2022-09-13,2022-09-13,1,1,1,1.0,1,2.0,2.0,1,before 2022-09-04,churn_customer,2022-10-29,2022-09-13,47.0,7.0,2.0,0.29,1.0,0.0,0.0,0.0,0.9478660905868749
O,2023-01-08,2023-01-07,2,1,9,9.0,9,185.0,20.55555555555556,1,2023-01-07,churn_customer,2023-01-07,2023-01-07,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.9868246221859812
TANSEONG,2022-11-28,2022-11-28,1,1,1,1.0,1,28.0,28.0,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9738828394678473
Yeonwoo15,2022-09-09,2022-09-07,3,1,41,41.0,41,1926.0,46.97560975609756,1,before 2022-09-04,churn_customer,2022-09-09,2022-09-07,3.0,1.0,63.0,63.0,63.0,0.0,0.0,0.0,0.9083591795409677
Yewon,2023-01-20,2022-09-13,130,19,28771,1514.26,735,249260.0,8.663584859754614,0,before 2022-09-04,long_term,2023-01-20,2022-09-13,130.0,19.0,28500.0,1500.0,848.0,3.0,700.0,233.3,0.09354903528971116
[ 🍒체리립스🍒 ]POTTS,2023-01-18,2023-01-18,1,1,74,74.0,74,962.0,13.0,0,2023-01-18,new_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29503337636097265
_김유메_,2022-10-17,2022-09-04,44,7,22,3.14,1,701.0,31.863636363636363,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9664888371280456
_네린,2023-01-20,2022-09-23,120,18,2133,118.5,217,39451.0,18.49554617909048,0,before 2022-09-04,long_term,2023-01-20,2022-09-23,120.0,18.0,3923.0,217.94,371.0,2.0,310.0,155.0,0.008893454697075328
_두부야_,2023-01-05,2022-09-04,124,18,24,1.33,14,570.0,23.75,1,before 2022-09-04,churn_customer,2023-01-07,2022-09-04,126.0,18.0,41.0,2.28,34.0,0.0,0.0,0.0,0.7564990600419161
_보야,2023-01-20,2022-12-19,33,5,1848,369.6,74,28666.0,15.511904761904765,0,2022-12-19,new_customer,2023-01-20,2022-12-19,33.0,5.0,3769.0,753.8,170.0,1.0,10.0,10.0,0.0845882810191905
_세현,2022-12-13,2022-09-05,100,15,46,3.07,1,494.0,10.73913043478261,1,before 2022-09-04,churn_customer,2023-01-20,2022-09-05,138.0,20.0,30.0,1.5,1.0,0.0,0.0,0.0,0.9898546640791096
_지웅,2022-11-23,2022-11-18,6,1,28,28.0,28,215.0,7.678571428571429,1,2022-11-10,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938125722461554
_찌미,2022-12-30,2022-09-04,118,17,45,2.65,1,722.0,16.044444444444444,1,before 2022-09-04,churn_customer,2023-01-16,2022-09-04,135.0,20.0,105.0,5.25,1.0,0.0,0.0,0.0,0.9889391255751079
_캡사이신_,2022-11-23,2022-09-04,81,12,11,0.92,2,274.0,24.90909090909091,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9388492713184776
_코히,2023-01-20,2022-09-08,135,20,6038,301.9,442,80703.0,13.365849619079166,0,before 2022-09-04,long_term,2023-01-20,2022-09-08,135.0,20.0,9571.0,478.55,463.0,10.0,225.0,22.5,0.0440520991646528
_해사,2023-01-20,2022-11-14,68,10,2048,204.8,89,36525.0,17.83447265625,0,before 2022-09-04,mid_term,2023-01-20,2022-09-24,119.0,17.0,3075.0,180.88,161.0,0.0,0.0,0.0,0.002818945933310428
_흑강_,2022-09-07,2022-09-07,1,1,1,1.0,1,44.0,44.0,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9683413685584618
bbbbbb,2022-12-04,2022-12-04,1,1,2,2.0,2,5.0,2.5,1,2022-12-04,churn_customer,2022-12-04,2022-12-04,1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.9351864102191472
dnjdjsj,2022-09-28,2022-09-28,1,1,1,1.0,1,1.0,1.0,1,2022-09-28,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9380282448234917
gamjaebaW,2022-11-23,2022-11-06,18,3,43,14.33,13,514.0,11.953488372093023,1,2022-11-06,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8494501336847078
gsh,2022-09-17,2022-09-17,1,1,2,2.0,2,12.0,6.0,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9586815987150845
ko_moong,2022-09-06,2022-09-04,3,1,20,20.0,20,118.0,5.9,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8612072375243779
mc509,2022-10-05,2022-10-05,1,1,5,5.0,5,18.0,3.6,1,2022-10-05,churn_customer,2022-10-10,2022-10-10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9523504362440675
mentionmansion,2022-10-25,2022-10-25,1,1,1,1.0,1,7.0,7.0,1,2022-10-25,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9685510396396331
mint민트,2022-12-31,2022-09-04,119,17,50,2.94,2,1276.0,25.52,1,before 2022-09-04,churn_customer,2023-01-20,2022-09-04,139.0,20.0,108.0,5.4,6.0,0.0,0.0,0.0,0.9219026847221157
nobleasmr,2022-10-14,2022-09-15,30,5,3,0.6,1,22.0,7.333333333333333,1,before 2022-09-04,churn_customer,2022-10-14,2022-09-15,30.0,5.0,2.0,0.4,1.0,0.0,0.0,0.0,0.985345062139491
sd,2022-11-30,2022-09-14,78,12,7,0.58,5,57.0,8.142857142857142,1,before 2022-09-04,churn_customer,2022-09-14,2022-09-14,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.9670549824677682
z(*˙︶˙*)☆*°뾰로롱,2022-11-18,2022-11-18,1,1,1,1.0,1,15.0,15.0,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.868030837626953
z_너구리구리,2022-12-12,2022-10-30,44,7,34,4.86,7,305.0,8.970588235294118,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9646086212487534
z_너구리구리셀,2022-10-19,2022-09-20,30,5,159,31.8,138,424.0,2.6666666666666665,1,before 2022-09-04,churn_customer,2022-12-12,2022-09-20,84.0,12.0,124.0,10.33,2.0,4.0,90.0,22.5,0.9713969265239037
zzzzz519,2022-12-02,2022-12-02,1,1,32,32.0,32,50.0,1.5625,1,2022-11-23,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8969668993394018
|희옐랑|,2022-09-08,2022-09-08,1,1,16,16.0,16,113.0,7.0625,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.926425255576927
☀️쥬,2022-12-27,2022-12-07,21,3,245,81.67,32,3127.0,12.763265306122449,1,2022-12-07,churn_customer,2022-12-16,2022-12-07,10.0,2.0,9.0,4.5,5.0,0.0,0.0,0.0,0.9708649294216687
✨소누키 Sonookiii,2023-01-20,2022-11-24,58,9,1577,175.22,166,24338.0,15.433100824350031,0,before 2022-09-04,mid_term,2023-01-20,2022-09-04,139.0,20.0,5951.0,297.55,233.0,2.0,600.0,300.0,0.003190712174836637
❤️ko_moong (코뭉),2022-10-28,2022-09-21,38,6,47,7.83,5,283.0,6.0212765957446805,1,before 2022-09-04,churn_customer,2022-12-18,2022-09-04,106.0,16.0,79.0,4.94,2.0,0.0,0.0,0.0,0.9816802364481467
❤️마스❤️,2022-11-09,2022-11-06,4,1,2,2.0,2,20.0,10.0,1,2022-10-31,churn_customer,2022-11-06,2022-11-06,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.9830948831610475
❤️초이랑CHOIRANG❤️,2023-01-16,2022-10-14,95,14,74,5.29,5,1836.0,24.81081081081081,0,before 2022-09-04,mid_term,2023-01-16,2022-09-23,116.0,17.0,59.0,3.47,1.0,0.0,0.0,0.0,0.31423533143134785
ㄱㅏㅁㅈㅐㅂㅏㅇㅜ,2022-12-01,2022-11-24,8,2,8,4.0,5,104.0,13.0,1,2022-11-23,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9634268773462439
ㆍ먀시로ㆍ,2022-09-19,2022-09-04,16,3,220,73.33,28,2984.0,13.563636363636364,1,before 2022-09-04,churn_customer,2022-09-19,2022-09-04,16.0,3.0,61.0,20.33,4.0,0.0,0.0,0.0,0.9790172008852016
李小白,2022-12-11,2022-12-11,1,1,2,2.0,2,6.0,3.0,1,2022-12-11,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927573685715642
가가가가가가가가가가가가가가가가가가가가,2023-01-18,2023-01-18,1,1,2,2.0,2,4.0,2.0,0,before 2022-09-04,new_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210402743794255
가스맨,2023-01-19,2022-11-01,80,12,916,76.33,30,7258.0,7.923580786026201,0,before 2022-09-04,mid_term,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22652560954246942
