user_nickname,last_celeb_chat_date,first_celeb_chat_date,celeb_chat_period,celeb_chat_week,celeb_chat_count,avg_celeb_chat,last_week_celeb_chat_count,celeb_chat_length,celeb_chat_avg_len,churn,celeb_joinus_date,celeb_type
(ㅅ´ ˘ `)♡,2022-11-17,2022-11-17,1,1,7,7.0,7,57.0,8.142857142857142,1,before 2022-09-04,churn_customer
102,2023-01-18,2023-01-17,2,1,4,4.0,4,26.0,6.5,0,2023-01-17,new_customer
104,2023-01-17,2023-01-17,1,1,1,1.0,1,2.0,2.0,0,2023-01-17,new_customer
105,2023-01-17,2023-01-17,1,1,13,13.0,13,144.0,11.076923076923077,0,2023-01-17,new_customer
106,2023-01-19,2023-01-17,3,1,9,9.0,9,48.0,5.333333333333333,0,2023-01-17,new_customer
107,2023-01-17,2023-01-17,1,1,1,1.0,1,2.0,2.0,0,2023-01-17,new_customer
108,2023-01-17,2023-01-17,1,1,1,1.0,1,2.0,2.0,0,2023-01-17,new_customer
10810,2023-01-18,2023-01-17,2,1,4,4.0,4,7.0,1.75,0,2023-01-17,new_customer
109,2023-01-19,2023-01-18,2,1,9,9.0,9,86.0,9.555555555555555,0,before 2022-09-04,new_customer
110,2023-01-19,2023-01-18,2,1,5,5.0,5,13.0,2.6,0,2023-01-18,new_customer
511,2022-10-05,2022-10-05,1,1,2,2.0,2,5.0,2.5,1,2022-10-05,churn_customer
512,2022-10-05,2022-10-05,1,1,2,2.0,2,3.0,1.5,1,2022-10-05,churn_customer
8,2023-01-20,2023-01-20,1,1,1,1.0,1,8.0,8.0,0,before 2022-09-04,new_customer
BJ민하_+,2022-12-20,2022-12-20,1,1,4,4.0,4,108.0,27.0,1,2022-12-20,churn_customer
Chu_a,2023-01-20,2022-11-26,56,8,964,120.5,81,8481.0,8.797717842323651,0,2022-11-26,mid_term
Coomo,2022-09-06,2022-09-06,1,1,1,1.0,1,1.0,1.0,1,before 2022-09-04,churn_customer
Cuha_큐하,2022-09-20,2022-09-20,1,1,2,2.0,2,55.0,27.5,1,before 2022-09-04,churn_customer
E효,2023-01-19,2022-12-28,23,4,3,0.75,2,44.0,14.666666666666666,0,2022-12-20,new_customer
GamZae BaW Lee SeonW,2023-01-15,2022-12-06,41,6,42,7.0,7,604.0,14.380952380952381,0,before 2022-09-04,mid_term
Kik5o,2022-10-19,2022-10-13,7,1,54,54.0,54,1791.0,33.166666666666664,1,before 2022-09-04,churn_customer
KoreAlo,2022-11-12,2022-11-12,1,1,9,9.0,9,195.0,21.666666666666668,1,2022-11-12,churn_customer
LAO,2022-12-22,2022-12-12,11,2,802,401.0,317,15838.0,19.748129675810475,1,2022-12-12,churn_customer
LAO(라오),2023-01-20,2022-12-22,30,5,616,123.2,57,13913.0,22.586038961038962,0,before 2022-09-04,new_customer
Martina Rose,2022-11-01,2022-09-17,46,7,420,60.0,3,6019.0,14.33095238095238,1,2022-09-17,churn_customer
