chat_room_id,last_fan_chat_date,first_fan_chat_date,fan_chat_period,fan_chat_week,fan_chat_count,avg_fan_chat,last_week_fan_chat_count,sticker_count,Total_sticker_sales,avg_sticker_price,user_nickname
sendbird_group_channel_100098601_8588e70ceb6ad4538f8cd750040503f0281e2256,2022-11-30,2022-11-15,16.0,3.0,23.0,7.67,6.0,0.0,0.0,0.0,팬심M in 지스타
sendbird_group_channel_100230212_d09bcba2f742f5e2eccfa93929cac768ea781690,2023-01-20,2022-11-15,67.0,10.0,891.0,89.1,31.0,0.0,0.0,0.0,김네로
sendbird_group_channel_100311155_0b3a8d43c52f47f7fc8a64f7be914c5449f3db9e,2023-01-01,2022-11-16,47.0,7.0,22.0,3.14,1.0,0.0,0.0,0.0,쫌눈
sendbird_group_channel_100349582_b3e0ea76ba8e8e82d84c7883fb00249a381b0a09,2023-01-20,2022-11-17,65.0,10.0,1106.0,110.6,153.0,0.0,0.0,0.0,애츄
sendbird_group_channel_100393628_3311cc39eeafde271bc8e3c2c74b6c3b6abb9407,2023-01-04,2022-12-06,30.0,5.0,4.0,0.8,1.0,0.0,0.0,0.0,유다이
sendbird_group_channel_100429302_50128ccdaa262dcc80735f8bea1ae7963a0adacf,2023-01-15,2022-11-22,55.0,8.0,884.0,110.5,8.0,0.0,0.0,0.0,박별
sendbird_group_channel_100439595_2941efd058564baabe53c218e11f2692f60e0654,2023-01-10,2022-11-17,55.0,8.0,28.0,3.5,1.0,0.0,0.0,0.0,나리
sendbird_group_channel_100450858_44307de9f12cc8a26b36231b54c28bfff7d06c72,2023-01-19,2022-11-18,63.0,9.0,315.0,35.0,4.0,0.0,0.0,0.0,랄라숑
sendbird_group_channel_100477684_c5a2103d516111f15f9a72bd16b9b16dcbcb76e3,2023-01-20,2022-11-18,64.0,10.0,777.0,77.7,125.0,0.0,0.0,0.0,건원
sendbird_group_channel_100550222_8e976b9673ff62a4c7320b8ff9192b16e30bad95,2023-01-19,2022-11-19,62.0,9.0,369.0,41.0,20.0,33.0,350.0,10.6,주피디
sendbird_group_channel_100913307_0c46d90c964694d791f535b3a2e76c937ae604f5,2023-01-20,2022-11-21,61.0,9.0,594.0,66.0,7.0,1.0,10.0,10.0,바베
sendbird_group_channel_100937763_03fbeba5c72a181e7eba8c97598507ea9bf0716e,2023-01-18,2022-11-24,56.0,8.0,137.0,17.12,7.0,0.0,0.0,0.0,리요치
sendbird_group_channel_100972710_3b096addf9b98292d4064af4c8c4b4dca828ef98,2023-01-20,2022-11-21,61.0,9.0,5535.0,615.0,780.0,0.0,0.0,0.0,서2
sendbird_group_channel_100996834_0606fa4c4e4b6ed8ca895ca84df6f550a3006178,2022-12-26,2022-11-22,35.0,5.0,145.0,29.0,1.0,0.0,0.0,0.0,김몽하
sendbird_group_channel_101004369_9e88b897d9a20eca48ba2dc06d38ecd53b9a8bf9,2023-01-15,2022-11-22,55.0,8.0,2380.0,297.5,4.0,1.0,20.0,20.0,아노
sendbird_group_channel_101083581_51e42c2a6374eb7582a2d367c7c27c9045a2dbef,2023-01-19,2022-12-27,24.0,4.0,9.0,2.25,2.0,0.0,0.0,0.0,엠셀오이공
sendbird_group_channel_101089905_411f965562acf5581793c2ad9c07233b89b2f620,2022-11-23,2022-11-23,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,겔겔
sendbird_group_channel_101094081_9a68f7a7060f1088f457b53dba77990b9317a133,2022-12-05,2022-12-02,4.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,강하로
sendbird_group_channel_101172165_5627307dd393998c8530d709e146b8862ac9a82c,2023-01-18,2022-11-24,56.0,8.0,119.0,14.88,1.0,1.0,10.0,10.0,문맘
sendbird_group_channel_101332553_62233dc97a09c9bb9b7afd8cce14ad84b1515e4b,2022-12-07,2022-11-27,11.0,2.0,1105.0,552.5,759.0,0.0,0.0,0.0,히차
sendbird_group_channel_101342453_90673cf7452d012471d2ef4aa5f0e5b225cb4dd1,2023-01-20,2022-11-26,56.0,8.0,1861.0,232.62,88.0,0.0,0.0,0.0,Chu_a
sendbird_group_channel_101385009_ac0f714b2480753112b723c8f3aa151807fec11b,2023-01-20,2022-11-27,55.0,8.0,1220.0,152.5,50.0,0.0,0.0,0.0,쿤엘
sendbird_group_channel_101388135_9e530caf2b54d91c3f9350e87f50e1663281e395,2022-12-24,2022-11-27,28.0,4.0,58.0,14.5,8.0,0.0,0.0,0.0,알라미
